x,t,u
0.1,0.1,1.74007393477259
0.2,0.1,1.61434225871536
0.3,0.1,1.42465204302773
0.4,0.1,1.19593415967282
0.5,0.1,0.954972823067113
0.6,0.1,0.725370734839229
0.7,0.1,0.524100197452793
0.8,0.1,0.360208446721537
0.9,0.1,0.235493398815095
1,0.1,0.146449825619265
1.1,0.1,0.0866331799556607
1.2,0.1,0.0487489121612794
1.3,0.1,0.0260934123621932
1.4,0.1,0.0132856284397711
1.5,0.1,0.00643455626739323
1.6,0.1,0.00296442440143865
1.7,0.1,0.00129911450522738
1.8,0.1,0.000541551496442732
1.9,0.1,0.000214742183386622
2,0.1,8.09991095608912e-05
2.1,0.1,2.90621942114772e-05
2.2,0.1,9.91886164849868e-06
2.3,0.1,3.2201829075712e-06
2.4,0.1,9.94453599924938e-07
2.5,0.1,2.92128402592409e-07
2.6,0.1,8.16297223813699e-08
2.7,0.1,2.16974217585757e-08
2.8,0.1,5.48596734744339e-09
2.9,0.1,1.31942157594475e-09
3,0.1,3.01855588580643e-10
0.1,0.2,1.33218755550651
0.2,0.2,1.26987812897769
0.3,0.2,1.17312228947512
0.4,0.2,1.05121347461728
0.5,0.2,0.914832591253884
0.6,0.2,0.774437684709167
0.7,0.2,0.638949473151445
0.8,0.2,0.514946189163588
0.9,0.2,0.406416679419936
1,0.2,0.314979497736768
1.1,0.2,0.24039528326535
1.2,0.2,0.181187279124901
1.3,0.2,0.135223111680815
1.4,0.2,0.100171914168591
1.5,0.2,0.0738093452292482
1.6,0.2,0.0541842551860914
1.7,0.2,0.0396811482213997
1.8,0.2,0.0290162446283254
1.9,0.2,0.0211988103484393
2,0.2,0.0154797828850584
2.1,0.2,0.0113006337992273
2.2,0.2,0.00824864187389783
2.3,0.2,0.00602052224979326
2.4,0.2,0.00439413283237726
2.5,0.2,0.00320705725283899
2.6,0.2,0.00234065818574437
2.7,0.2,0.00170831677425194
2.8,0.2,0.00124680487044253
2.9,0.2,0.000909972905080638
3,0.2,0.000664138098284653
0.1,0.3,1.09733874573476
0.2,0.3,1.06164578864454
0.3,0.3,1.005129597521
0.4,0.3,0.931814137202052
0.5,0.3,0.846558743141583
0.6,0.3,0.754475964269883
0.7,0.3,0.660397013354254
0.8,0.3,0.568462816458907
0.9,0.3,0.481880282293091
1,0.3,0.402844108414592
1.1,0.3,0.332594395603874
1.2,0.3,0.271564594027009
1.3,0.3,0.219572523940354
1.4,0.3,0.176015395079654
1.5,0.3,0.14004261431006
1.6,0.3,0.110693160448547
1.7,0.3,0.0869945971132791
1.8,0.3,0.0680273786671996
1.9,0.3,0.0529612736250075
2,0.3,0.0410714149104722
2.1,0.3,0.0317407193984783
2.2,0.3,0.0244540324464095
2.3,0.3,0.0187878845515919
2.4,0.3,0.0143984728869541
2.5,0.3,0.011009495227774
2.6,0.3,0.00840076136608738
2.7,0.3,0.00639803782243508
2.8,0.3,0.00486428638360109
2.9,0.3,0.00369228309608297
3,0.3,0.00279851082766507
0.1,0.4,0.946519833913449
0.2,0.4,0.923674752829682
0.3,0.4,0.88703256816443
0.4,0.4,0.838580680563521
0.5,0.4,0.78080544729876
0.6,0.4,0.716454884449715
0.7,0.4,0.648302213618654
0.8,0.4,0.578940062814033
0.9,0.4,0.510625636644925
1,0.4,0.445185745911
1.1,0.4,0.383980018926716
1.2,0.4,0.327912854274716
1.3,0.4,0.277480515647487
1.4,0.4,0.232838976190971
1.5,0.4,0.193879794845587
1.6,0.4,0.160304331553756
1.7,0.4,0.131689985372446
1.8,0.4,0.107545178017052
1.9,0.4,0.0873521505966433
2,0.4,0.0705982108733984
2.1,0.4,0.0567969507464461
2.2,0.4,0.0455013137542906
2.3,0.4,0.0363104048929231
2.4,0.4,0.0288717480656888
2.5,0.4,0.022880418756328
2.6,0.4,0.0180761817998226
2.7,0.4,0.0142394868866907
2.8,0.4,0.0111869368799844
2.9,0.4,0.00876665192291639
3,0.4,0.00685380384853173
0.1,0.5,0.841466913128809
0.2,0.5,0.82558942530338
0.3,0.5,0.799903404725321
0.4,0.5,0.76550446780335
0.5,0.5,0.723797909605363
0.6,0.5,0.676390597638035
0.7,0.5,0.62497685698954
0.8,0.5,0.571230580678133
0.9,0.5,0.516713356153137
1,0.5,0.462804903578961
1.1,0.5,0.410658366771582
1.2,0.5,0.36117966474869
1.3,0.5,0.315027643773194
1.4,0.5,0.27263033561027
1.5,0.5,0.234212163389275
1.6,0.5,0.199827228022649
1.7,0.5,0.169394582302913
1.8,0.5,0.142732396276223
1.9,0.5,0.11958893207545
2,0.5,0.0996691460225581
2.1,0.5,0.082656453484582
2.2,0.5,0.0682297112204195
2.3,0.5,0.05607580870287
2.4,0.5,0.0458984465663151
2.5,0.5,0.0374237542798228
2.6,0.5,0.03040339554568
2.7,0.5,0.0246157581861229
2.8,0.5,0.0198657479565091
2.9,0.5,0.0159836188345477
3,0.5,0.0128231864037494
0.1,0.6,0.763751859891449
0.2,0.6,0.752023818901793
0.3,0.6,0.732939217271978
0.4,0.6,0.707158196896829
0.5,0.6,0.675542549431027
0.6,0.6,0.639101365947793
0.7,0.6,0.598931259295534
0.8,0.6,0.556156592873874
0.9,0.6,0.511874527671788
1,0.6,0.467108579621568
1.1,0.6,0.422772999175608
1.2,0.6,0.379648881970051
1.3,0.6,0.33837168648663
1.4,0.6,0.299428895274553
1.5,0.6,0.263165960028904
1.6,0.6,0.229798404447217
1.7,0.6,0.199427966507988
1.8,0.6,0.172060866989266
1.9,0.6,0.147626614541849
2,0.6,0.125996130341071
2.1,0.6,0.106998344572145
2.2,0.6,0.0904347479119744
2.3,0.6,0.0760916549209598
2.4,0.6,0.0637501465517541
2.5,0.6,0.0531938081810923
2.6,0.6,0.0442144752005575
2.7,0.6,0.0366162501855105
2.8,0.6,0.0302180743704022
2.9,0.6,0.0248551311966832
3,0.6,0.0203793392591778
0.1,0.7,0.703607349967509
0.2,0.7,0.694540468232741
0.3,0.7,0.679725251431067
0.4,0.7,0.659588638045303
0.5,0.7,0.634695068774386
0.6,0.7,0.605716751437804
0.7,0.7,0.573399972650224
0.8,0.7,0.538530065198113
0.9,0.7,0.501897504978426
1,0.7,0.464267242489402
1.1,0.7,0.426352846287163
1.2,0.7,0.388796434796078
1.3,0.7,0.352154778587596
1.4,0.7,0.316891431589211
1.5,0.7,0.283374338222292
1.6,0.7,0.251878082674711
1.7,0.7,0.22258979494988
1.8,0.7,0.195617690069238
1.9,0.7,0.171001267496594
2,0.7,0.148722310219424
2.1,0.7,0.128715970930089
2.2,0.7,0.110881394276548
2.3,0.7,0.0950914822594653
2.4,0.7,0.0812015529762328
2.5,0.7,0.0690567643354482
2.6,0.7,0.0584982713100992
2.7,0.7,0.0493681578957044
2.8,0.7,0.0415132352523289
2.9,0.7,0.0347878286971461
3,0.7,0.0290556918920096
0.1,0.8,0.655429358689681
0.2,0.8,0.648172015656174
0.3,0.8,0.636277827365011
0.4,0.8,0.620038896667242
0.5,0.8,0.599844991831667
0.6,0.8,0.57616607930182
0.7,0.8,0.549532099558375
0.8,0.8,0.520511332505745
0.9,0.8,0.489688692183878
1,0.8,0.457645170582556
1.1,0.8,0.42493944179055
1.2,0.8,0.392092372548883
1.3,0.8,0.359574897082496
1.4,0.8,0.327799433465599
1.5,0.8,0.297114770036341
1.6,0.8,0.267804149788488
1.7,0.8,0.240086136252012
1.8,0.8,0.214117756845749
1.9,0.8,0.189999384117138
2,0.8,0.167780823050581
2.1,0.8,0.14746811326714
2.2,0.8,0.129030617717404
2.3,0.8,0.112408044511754
2.4,0.8,0.0975171275313326
2.5,0.8,0.0842577680064211
2.6,0.8,0.0725185088486069
2.7,0.8,0.0621812734446435
2.8,0.8,0.053125349595574
2.9,0.8,0.0452306371808291
3,0.8,0.0383802056144524
0.1,0.9,0.615786242583381
0.2,0.9,0.609817994781702
0.3,0.9,0.600014344892576
0.4,0.9,0.586584346756207
0.5,0.9,0.569808893628734
0.6,0.9,0.550029830680968
0.7,0.9,0.527637142871116
0.8,0.9,0.503054959392539
0.9,0.9,0.476727138602641
1,0.9,0.44910316245462
1.1,0.9,0.420624985493804
1.2,0.9,0.391715362903315
1.3,0.9,0.362768039348268
1.4,0.9,0.334140030019799
