x,t,u
0.1,0.1,1.74007393477259
0.2,0.1,1.61434225871536
0.3,0.1,1.42465204302773
0.4,0.1,1.19593415967282
0.5,0.1,0.954972823067113
0.6,0.1,0.725370734839229
0.7,0.1,0.524100197452793
0.8,0.1,0.360208446721537
0.9,0.1,0.235493398815095
1,0.1,0.146449825619265
1.1,0.1,0.0866331799556607
1.2,0.1,0.0487489121612794
1.3,0.1,0.0260934123621932
1.4,0.1,0.0132856284397711
1.5,0.1,0.00643455626739323
1.6,0.1,0.00296442440143865
1.7,0.1,0.00129911450522738
1.8,0.1,0.000541551496442732
1.9,0.1,0.000214742183386622
2,0.1,8.09991095608912e-05
2.1,0.1,2.90621942114772e-05
2.2,0.1,9.91886164849868e-06
2.3,0.1,3.2201829075712e-06
2.4,0.1,9.94453599924938e-07
2.5,0.1,2.92128402592409e-07
2.6,0.1,8.16297223813699e-08
2.7,0.1,2.16974217585757e-08
2.8,0.1,5.48596734744339e-09
2.9,0.1,1.31942157594475e-09
3,0.1,3.01855588580643e-10
0.1,0.2,1.21421442580956
0.2,0.2,1.17895966628114
0.3,0.2,1.12058692789629
0.4,0.2,1.04042883415242
0.5,0.2,0.941413128555268
0.6,0.2,0.828326235677928
0.7,0.2,0.707498892126878
0.8,0.2,0.585972500855467
0.9,0.2,0.470422217586027
1,0.2,0.366186223360162
1.1,0.2,0.276670581150251
1.2,0.2,0.203230041310034
1.3,0.2,0.145456959304274
1.4,0.2,0.101708870810265
1.5,0.2,0.0696887190403111
1.6,0.2,0.0469384595185175
1.7,0.2,0.0311781850503963
1.8,0.2,0.0204859778038823
1.9,0.2,0.0133519021231276
2,0.2,0.00865219219109074
2.1,0.2,0.00558491471688354
2.2,0.2,0.00359601416442432
2.3,0.2,0.00231188801869822
2.4,0.2,0.00148502249069696
2.5,0.2,0.000953439166004792
2.6,0.2,0.000611993422315945
2.7,0.2,0.000392779470766223
2.8,0.2,0.000252073353039182
2.9,0.2,0.000161768763817869
3,0.2,0.00010381451449603
0.1,0.3,1.01414311212224
0.2,0.3,0.989056334502924
0.3,0.3,0.949106869384397
0.4,0.3,0.896646747922508
0.5,0.3,0.834287821067919
0.6,0.3,0.76457501999605
0.7,0.3,0.689852426461515
0.8,0.3,0.612299587514269
0.9,0.3,0.534036057896813
1,0.3,0.457181007297939
1.1,0.3,0.383804561470666
1.2,0.3,0.315779809337782
1.3,0.3,0.254597552975991
1.4,0.3,0.201218421836791
1.5,0.3,0.156013264178843
1.6,0.3,0.11880312330044
1.7,0.3,0.0889759301247493
1.8,0.3,0.0656402187423221
1.9,0.3,0.0477772239818235
2,0.3,0.0343649278443464
2.1,0.3,0.0244627463796906
2.2,0.3,0.0172577543258484
2.3,0.3,0.0120803358975578
2.4,0.3,0.00839934642731426
2.5,0.3,0.00580593954108512
2.6,0.3,0.00399289514886872
2.7,0.3,0.00273379930982376
2.8,0.3,0.00186439960476762
2.9,0.3,0.00126706362155144
3,0.3,0.000858436269982494
0.1,0.4,0.880691320491298
0.2,0.4,0.865398863818447
0.3,0.4,0.840237600507909
0.4,0.4,0.805813139765435
0.5,0.4,0.763120762784248
0.6,0.4,0.713548848363606
0.7,0.4,0.658781492079141
0.8,0.4,0.600630194330913
0.9,0.4,0.540855708616223
1,0.4,0.481036674026834
1.1,0.4,0.422510168011622
1.2,0.4,0.366373089610213
1.3,0.4,0.313512171492196
1.4,0.4,0.264631051854829
1.5,0.4,0.220258484739819
1.6,0.4,0.180739944957459
1.7,0.4,0.14622582180379
1.8,0.4,0.116670195192665
1.9,0.4,0.0918478472496807
2,0.4,0.0713889253372463
2.1,0.4,0.0548246882505704
2.2,0.4,0.041635650127257
2.3,0.4,0.0312946175386737
2.4,0.4,0.0233000123202666
2.5,0.4,0.0171979576964355
2.6,0.4,0.0125939442096617
2.7,0.4,0.00915619198187512
2.8,0.4,0.00661322215450998
2.9,0.4,0.00474795311525336
3,0.4,0.00339015334308988
0.1,0.5,0.7911437156216
0.2,0.5,0.779453968338074
0.3,0.5,0.76044404859616
0.4,0.5,0.734738615903833
0.5,0.5,0.703086194677897
0.6,0.5,0.666306397270147
0.7,0.5,0.625273551507527
0.8,0.5,0.580923059094349
0.9,0.5,0.534254327600318
1,0.5,0.486309868777807
1.1,0.5,0.438127520331313
1.2,0.5,0.390679214734954
1.3,0.5,0.344815973880151
1.4,0.5,0.301233695022289
1.5,0.5,0.260463392275562
1.6,0.5,0.222880043703335
1.7,0.5,0.188720298251591
1.8,0.5,0.158100951546862
1.9,0.5,0.131034477444833
2,0.5,0.107441903351285
2.1,0.5,0.0871652400347853
2.2,0.5,0.0699814881117664
2.3,0.5,0.0556188982509194
2.4,0.5,0.0437747371623453
2.5,0.5,0.0341329704476109
2.6,0.5,0.0263801651460543
2.7,0.5,0.0202183427727891
2.8,0.5,0.0153741681572851
2.9,0.5,0.0116044819542277
3,0.5,0.00869863225187206
0.1,0.6,0.723340319052665
0.2,0.6,0.71458785478634
0.3,0.6,0.700182340268058
0.4,0.6,0.680419997034569
0.5,0.6,0.655740918560834
0.6,0.6,0.626720161045502
0.7,0.6,0.594035204640111
0.8,0.6,0.558420225511795
0.9,0.6,0.52062291874782
1,0.6,0.481375057541827
1.1,0.6,0.441378123712621
1.2,0.6,0.401297267709541
1.3,0.6,0.361754957559822
1.4,0.6,0.323319482149097
1.5,0.6,0.286489188052598
1.6,0.6,0.251677098937008
1.7,0.6,0.219200817747669
1.8,0.6,0.189280241710529
1.9,0.6,0.162042651103424
2,0.6,0.137532795219556
2.1,0.6,0.115725206932294
2.2,0.6,0.0965367006310522
2.3,0.6,0.0798380747714962
2.4,0.6,0.0654648554437825
2.5,0.6,0.0532272653985167
2.6,0.6,0.0429195729302542
2.7,0.6,0.0343287790905403
2.8,0.6,0.0272424247566154
2.9,0.6,0.0214552333301101
3,0.6,0.0167743556780795
0.1,0.7,0.670701400004587
0.2,0.7,0.663607123598346
0.3,0.7,0.651969751206464
0.4,0.7,0.63604668971747
0.5,0.7,0.616165702005302
0.6,0.7,0.592711350023625
0.7,0.7,0.566119434727631
0.8,0.7,0.536874388172067
0.9,0.7,0.505502501784216
1,0.7,0.472557086445662
1.1,0.7,0.438597149511089
1.2,0.7,0.404164939910083
1.3,0.7,0.369767718895824
1.4,0.7,0.335866215409771
1.5,0.7,0.302868877261627
1.6,0.7,0.271129271974381
1.7,0.7,0.240944293368359
1.8,0.7,0.212552304734274
1.9,0.7,0.186131743274904
2,0.7,0.161801265526593
2.1,0.7,0.139622214243084
2.2,0.7,0.119603482435711
2.3,0.7,0.101708226547586
2.4,0.7,0.0858615944828355
2.5,0.7,0.0719586809434481
2.6,0.7,0.0598721529360435
2.7,0.7,0.0494592423012482
2.8,0.7,0.0405679848028056
2.9,0.7,0.0330426764061814
3,0.7,0.0267285428502968
0.1,0.8,0.627916289232561
0.2,0.8,0.622130505479528
0.3,0.8,0.612592494088372
0.4,0.8,0.599464720370709
0.5,0.8,0.582978479006869
0.6,0.8,0.563428157312852
0.7,0.8,0.541158760390996
0.8,0.8,0.516550359861385
0.9,0.8,0.490003993501923
1,0.8,0.461931454436706
1.1,0.8,0.432748310565717
1.2,0.8,0.402867671572087
1.3,0.8,0.37269259032411
1.4,0.8,0.342606765833584
1.5,0.8,0.312964886089911
1.6,0.8,0.284084475250999
1.7,0.8,0.256240478386185
1.8,0.8,0.229662728552999
1.9,0.8,0.204535636308844
2,0.8,0.180999238960418
2.1,0.8,0.159151009833955
2.2,0.8,0.139048220349529
2.3,0.8,0.12071090252862
2.4,0.8,0.104125496080542
2.5,0.8,0.0892491514266432
2.6,0.8,0.0760145153374004
2.7,0.8,0.0643347343558197
2.8,0.8,0.0541083986488006
2.9,0.8,0.0452241966091621
3,0.8,0.0375651237693802
0.1,0.9,0.592436360813277
0.2,0.9,0.5875481864145
0.3,0.9,0.57949577584084
0.4,0.9,0.568413783944181
0.5,0.9,0.554480072408393
0.6,0.9,0.537910759883087
0.7,0.9,0.518957043099666
0.8,0.9,0.497901986465735
0.9,0.9,0.475055220982524
1,0.9,0.450744873701188
1.1,0.9,0.425307815078521
1.2,0.9,0.399080152481056
1.3,0.9,0.372389428319731
1.4,0.9,0.345548815000081
